"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs8q00","cs8q01","cs8q02","cs8q03","cs8q04","cs8q05_a","cs8q05_b","cs8q05_c","cs8q05_d","cs8q05_e","cs8q05_f","cs8q05_g","cs8q05_h","cs8q06","cs8q07","cs8q08","cs8q09","cs8q10","cs8q11_a","cs8q11_b","cs8q11_c","cs8q11_d"
"01010500204",1,1,1,5,8,88,2,4,7,2,2,2,2,,,,,,,,,,2,0,0,,1,1,1,1
"01010500204",1,1,1,5,8,88,2,4,8,2,2,2,2,,,,,,,,,,1,300,300,1,1,1,1,2
"01010500204",1,1,1,5,8,88,2,4,9,2,2,2,2,,,,,,,,,,2,0,0,,1,1,1,1
"01010500204",1,1,1,5,8,88,2,4,10,2,1,1,2,,,,,,,,,,2,0,0,,1,1,1,1
"01010500204",1,1,1,5,8,88,2,4,11,2,2,2,2,,,,,,,,,,2,0,0,,1,1,1,1
"01010600402",1,1,1,6,8,88,4,2,1,2,1,1,1,1,2,1,2,2,2,1,2,1,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,2,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,3,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,4,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,5,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,6,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,7,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,8,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,9,2,2,2,2,,,,,,,,,,3,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,10,2,1,1,2,,,,,,,,,,5,0,0,,,,,
"01010600402",1,1,1,6,8,88,4,2,11,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020100207",1,1,2,1,8,88,2,7,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,0,0,,1,1,1,2
"01020100207",1,1,2,1,8,88,2,7,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,0,0,,1,1,1,2
"01020100207",1,1,2,1,8,88,2,7,3,2,2,2,2,,,,,,,,,,1,0,0,,1,1,1,2
"01020100207",1,1,2,1,8,88,2,7,4,2,2,2,1,2,2,2,1,2,2,2,2,1,1,0,0,,1,1,1,2
"01020100207",1,1,2,1,8,88,2,7,5,1,1,1,1,1,2,2,1,2,2,2,2,1,1,0,0,,1,1,1,2
"01020100207",1,1,2,1,8,88,2,7,6,1,1,1,1,2,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01020100207",1,1,2,1,8,88,2,7,7,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020100207",1,1,2,1,8,88,2,7,8,2,2,2,2,,,,,,,,,,2,0,0,,1,1,1,2
"01020100207",1,1,2,1,8,88,2,7,9,2,1,1,1,2,2,2,1,2,2,2,2,1,5,0,0,,,,,
"01020100207",1,1,2,1,8,88,2,7,10,2,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01020100207",1,1,2,1,8,88,2,7,11,2,2,2,2,,,,,,,,,,1,8200,8200,1,1,1,1,2
"01020200802",1,1,2,2,8,88,8,2,1,2,2,2,2,,,,,,,,,,1,3000,4000,1,1,1,2,2
"01020200802",1,1,2,2,8,88,8,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,8900,18000,1,1,1,2,2
"01020200802",1,1,2,2,8,88,8,2,3,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020200802",1,1,2,2,8,88,8,2,4,2,2,2,2,,,,,,,,,,2,0,0,,2,2,2,2
"01020200802",1,1,2,2,8,88,8,2,5,1,1,1,1,1,1,1,1,1,2,2,2,1,3,0,0,,,,,
"01020200802",1,1,2,2,8,88,8,2,6,1,1,1,1,1,1,1,1,1,2,2,2,1,2,0,0,,2,2,2,2
"01020200802",1,1,2,2,8,88,8,2,7,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020200802",1,1,2,2,8,88,8,2,8,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020200802",1,1,2,2,8,88,8,2,9,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020200802",1,1,2,2,8,88,8,2,10,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01020200802",1,1,2,2,8,88,8,2,11,2,2,2,2,,,,,,,,,,2,0,0,,2,2,2,2
"01020301001",1,1,2,3,8,88,10,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,0,,1,2,2,2
