"individual_id","holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s1q00","ph_s1q02","ph_s1q03","ph_s1q04","ph_s1q05"
"0101020140300107","0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,1,7,10,1,4,
"0101020140300108","0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,1,8,8,2,4,
"0101020140300109","0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,1,9,6,1,4,
"0101020140301101","0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,1,52,2,3,"X"
"0101020140301102","0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,2,16,1,4,
"0101020140301103","0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,3,14,1,4,
"0101020140301104","0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,4,12,1,4,
"0101020140301105","0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,5,8,2,4,
"0101020140301601","0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,1,35,1,3,"X"
"0101020140301602","0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,2,30,2,4,
"0101020140301603","0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,3,12,2,4,
"0101020140301604","0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,4,8,2,4,
"0101020140301605","0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,5,4,1,4,
"0101020140301606","0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,6,1,1,4,
"0101020140302601","0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,1,71,2,1,"X"
"0101020140303101","0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,1,43,1,3,"X"
"0101020140303102","0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,2,34,2,4,
"0101020140303103","0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,3,14,1,4,
"0101020140303104","0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,4,13,1,4,
"0101020140303105","0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,5,10,2,4,
"0101020140303106","0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,6,7,1,4,
"0101020140303107","0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,7,5,2,4,
"0101020140303601","0101020140303601","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,1,1,37,1,3,"X"
"0101020140303602","0101020140303601","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,1,2,30,2,4,
"0101020140303603","0101020140303601","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,1,3,8,1,4,
"0101020140303604","0101020140303601","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,1,4,6,1,4,
"0101020140303605","0101020140303601","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,1,5,3,1,4,
"0101020140303606","0101020140303601","01010201403036","01010201403",1,2607.7529296875,1,1,2,14,3,36,1,6,0,2,4,
"0101020140304601","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,1,53,1,3,"X"
"0101020140304602","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,2,42,2,4,
"0101020140304603","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,3,22,1,4,
"0101020140304604","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,4,20,1,4,
"0101020140304605","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,5,18,1,4,
"0101020140304606","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,6,16,1,4,
"0101020140304607","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,7,14,1,4,
"0101020140304608","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,8,12,1,4,
"0101020140304609","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,9,10,2,4,
"0101020140304610","0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,10,8,1,4,
"0101020140306101","0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,1,64,1,3,"X"
"0101020140306102","0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,2,53,2,4,
"0101020140306103","0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,3,26,1,4,
"0101020140306104","0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,4,20,1,4,
"0101020140306105","0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,5,17,1,4,
"0101020140306106","0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,6,15,1,4,
"0101020140306107","0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,7,13,2,4,
"0101020140309101","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,1,33,1,3,"X"
"0101020140309102","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,2,30,2,4,
"0101020140309103","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,3,10,1,4,
"0101020140309104","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,4,8,1,4,
"0101020140309105","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,5,6,1,4,
"0101020140309106","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,6,3,1,4,
"0101020140309107","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,7,3,1,4,
"0101020140309108","0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,8,0,1,4,
"0101020140310601","0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,1,28,1,3,"X"
"0101020140310602","0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,2,23,2,4,
"0101020140310603","0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,3,5,2,4,
"0101020140310604","0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,4,18,1,4,
"0101020140312101","0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,1,61,1,3,"X"
"0101020140312102","0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,2,52,2,4,
"0101020140312103","0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,3,28,2,4,
"0101020140312104","0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,4,25,1,4,
"0101020140312105","0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,5,22,1,4,
"0101020140312106","0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,6,18,1,4,
"0101020140312107","0101020140312101","01010201403121","01010201403",1,2607.7529296875,1,1,2,14,3,121,1,7,7,2,4,
"0101020140313601","0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,1,2,14,3,136,1,1,71,2,3,"X"
"0101020140313602","0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,1,2,14,3,136,1,2,4,2,4,
"0101030010605201","0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,1,55,2,1,"X"
"0101030010605202","0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,2,22,1,4,
"0101030010605203","0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,3,25,2,4,
"0101030010605204","0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,4,35,1,4,
"0101030010607601","0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,1,90,1,3,"X"
"0101030010607602","0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,2,42,2,4,
"0101030010607603","0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,3,17,1,4,
"0101030010607604","0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,4,12,1,4,
"0101030010607605","0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,5,8,1,4,
"0101030010607606","0101030010607601","01010300106076","01010300106",0,768.159851074219,1,1,3,1,6,76,1,6,52,2,4,
"0101030010611201","0101030010611201","01010300106112","01010300106",0,768.159851074219,1,1,3,1,6,112,1,1,70,1,2,"X"
"0101030010611202","0101030010611201","01010300106112","01010300106",0,768.159851074219,1,1,3,1,6,112,1,2,50,2,4,
"0101030010611203","0101030010611201","01010300106112","01010300106",0,768.159851074219,1,1,3,1,6,112,1,3,18,2,4,
"0101030010613601","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,1,69,1,3,"X"
"0101030010613602","0101030010613601","01010300106136","01010300106",0,768.159851074219,1,1,3,1,6,136,1,2,55,2,4,
