"household_id","ea_id","rural","pw","ent_id","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s11bq00","hh_s11bq01_a","hh_s11bq01_b","hh_s11bq01_c","hh_s11bq02","hh_s11bq03_a","hh_s11bq03_b","hh_s11bq04_a","hh_s11bq04_b","hh_s11bq05_a","hh_s11bq05_b","hh_s11bq06_a","hh_s11bq06_b","hh_s11bq07","hh_s11bq08_a","hh_s11bq08_b","hh_s11bq08_c","hh_s11bq09","hh_s11bq10","hh_s11bq11","hh_s11bq12_a","hh_s11bq12_b","hh_s11bq12_c","hh_s11bq12_d","hh_s11bq12_e","hh_s11bq13","hh_s11bq14","hh_s11bq15","hh_s11bq16_a","hh_s11bq16_b","hh_s11bq16_c","hh_s11bq17"
"01020200802063","01020200802",1,3456.86206054688,"0102020080206301",1,2,2,8,88,8,2,63,1,,7,,3,7,,1,,4,1992,1,,1,5,6,7,5,10,0,,,,,,500,2000,1,81,82,,2
"01020200802063","01020200802",1,3456.86206054688,"0102020080206302",1,2,2,8,88,8,2,63,2,,3,,7,3,,1,,12,2003,3,,1,6,8,9,1,15,0,,,,,,700,50,2,81,82,,2
"01020401702002","01020401702",1,4736.44140625,"0102040170200201",1,2,4,8,88,17,2,2,1,,7,6,6,1,,3,1,7,2003,6,1,2,7,8,9,3,20,3,1,,,,,2000,5000,2,81,82,,2
"01020401702149","01020401702",1,969.447082519531,"0102040170214901",1,2,4,8,88,17,2,149,1,,5,8,1,1,,2,7,4,2004,1,3,2,6,7,8,2,30,1,1,,,,,1000,5000,4,81,82,,1
"01020601301081","01020601301",1,3223.05908203125,"0102060130108101",1,2,6,8,88,13,1,81,1,,7,4,1,1,2,2,,6,1979,3,,2,5,6,7,12,22,0,1,2,4,5,,2400,250,5,11,31,111,2
"01020601301134","01020601301",1,3223.05908203125,"0102060130113401",1,2,6,8,88,13,1,134,1,,7,4,1,1,,1,,9,2002,2,,2,5,6,7,5,14,0,1,,,,,20,10,2,,,,2
"01020601301136","01020601301",1,175.166259765625,"0102060130113601",1,2,6,8,88,13,1,136,1,,7,4,1,2,,3,,2,2000,1,,2,5,6,8,12,20,0,1,,,,,150,50,2,81,,,2
"01020601301162","01020601301",1,3223.05908203125,"0102060130116201",1,2,6,8,88,13,1,162,1,,7,4,1,1,,1,,1,1997,2,1,2,1,11,12,12,12,0,1,,,,,500,4000,2,131,81,,1
"01020601301180","01020601301",1,175.166259765625,"0102060130118001",1,2,6,8,88,13,1,180,1,,5,7,1,1,,9,,6,2003,2,1,2,8,9,10,11,4,0,1,,,,,120,50,5,72,,,2
"01020700101027","01020700101",0,1273.43322753906,"0102070010102701",1,2,7,1,1,1,1,27,1,,7,,1,1,,7,,10,2002,1,2,1,1,,,2,30,0,,,,,,17,0,3,75,71,,2
"01020700101087","01020700101",0,1273.43322753906,"0102070010108701",1,2,7,1,1,1,1,87,1,,7,,1,1,2,7,,7,1985,3,1,2,5,12,3,12,30,0,2,5,,,,1200,8550,5,75,,,2
"01020700101117","01020700101",0,1273.43322753906,"0102070010111701",1,2,7,1,1,1,1,117,1,,5,,1,2,,3,,5,2002,1,,2,2,3,4,12,10,0,,,,,,200,260,3,32,,,2
"01020700101147","01020700101",0,1273.43322753906,"0102070010114701",1,2,7,1,1,1,1,147,1,,5,,5,1,,9,,4,2003,1,,1,4,5,6,7,10,1,,,,,,350,168,3,122,81,,1
"01020700101207","01020700101",0,1273.43322753906,"0102070010120701",1,2,7,1,1,1,1,207,1,,5,,3,1,,3,2,7,2003,1,,1,7,8,9,5,4,0,1,,,,,50,200,2,82,81,,2
"01020700101237","01020700101",0,1273.43322753906,"0102070010123701",1,2,7,1,1,1,1,237,1,,5,,1,1,2,1,2,2,1997,1,,2,1,5,3,12,30,0,,,,,,1500,1200,5,91,22,93,1
"01020700101297","01020700101",0,1273.43322753906,"0102070010129701",1,2,7,1,1,1,1,297,1,,1,,1,1,,10,,6,1984,1,,2,2,1,3,12,6,,,,,,,,,3,72,112,113,2
"01020700101327","01020700101",0,1273.43322753906,"0102070010132701",1,2,7,1,1,1,1,327,1,,5,,3,2,,8,,3,2004,2,1,2,3,4,,2,4,0,3,,,,,360,522,4,82,,,2
"01020900602063","01020900602",1,4160.09130859375,"0102090060206301",1,2,9,8,88,6,2,63,1,,5,7,6,1,,1,,1,1987,2,,1,6,8,9,3,6,0,,,,,,450,40,2,,,,2
"01030100204032","01030100204",1,1425.53918457031,"0103010020403201",1,3,1,8,88,2,4,32,1,,5,7,3,1,3,9,7,11,2002,1,2,2,1,2,5,12,4,0,1,3,,,,500,1000,2,43,62,64,
"01030100204091","01030100204",1,1425.53918457031,"0103010020409101",1,3,1,8,88,2,4,91,1,,7,7,1,1,2,9,7,7,1990,1,1,2,7,8,9,12,12,0,2,3,,,,1000,1000,2,83,62,73,
"01030100204129","01030100204",1,1425.53918457031,"0103010020412901",1,3,1,8,88,2,4,129,1,,9,,1,2,,7,9,8,1994,1,1,2,1,9,5,12,10,0,2,,,,,800,600,2,83,62,73,2
