"holder_id","household_id","ea_id","parcel_id","field_id","rid","qa_type_plot","dist_household","plot_srtmslp","plot_srtm","plot_twi"
"0101020140304601","01010201403046","01010201403",3,1,110,1,0.18,2.08,1851,14
"0101020140304601","01010201403046","01010201403",4,1,111,1,0.27,5,1845,13
"0101020140304601","01010201403046","01010201403",5,1,112,1,0.3,4.55,1846,13
"0101020140304601","01010201403046","01010201403",6,1,113,1,3.95,23.58,1620,11
"0101020140304601","01010201403046","01010201403",7,1,114,1,0.76,1.48,1865,14
"0101020140304601","01010201403046","01010201403",7,2,115,1,0.74,2.14,1862,14
"0101020140304601","01010201403046","01010201403",9,2,118,1,0.91,1.07,1864,14
"0101020140306101","01010201403061","01010201403",1,1,119,1,0,7.14,1834,12
"0101020140306101","01010201403061","01010201403",1,2,120,1,0.01,8.88,1833,12
"0101020140306101","01010201403061","01010201403",1,3,121,1,0.02,4.61,1836,12
"0101020140306101","01010201403061","01010201403",1,5,123,1,0.03,4.82,1836,12
"0101020140306101","01010201403061","01010201403",2,1,125,1,0.79,1.75,1857,13
"0101020140306101","01010201403061","01010201403",2,2,126,1,0.81,1.48,1856,13
"0101020140306101","01010201403061","01010201403",3,1,127,1,1.28,3.18,1853,13
"0101020140306101","01010201403061","01010201403",3,2,128,1,1.37,5.89,1848,13
"0101020140306101","01010201403061","01010201403",3,3,129,1,1.33,2.83,1853,13
"0101020140306101","01010201403061","01010201403",4,1,130,1,0.88,1.92,1860,13
"0101020140306101","01010201403061","01010201403",5,1,131,1,1.09,3.18,1854,13
"0101020140306101","01010201403061","01010201403",6,1,132,1,0.22,13.29,1827,12
"0101020140306101","01010201403061","01010201403",6,2,133,1,0.2,14.26,1827,12
"0101020140306101","01010201403061","01010201403",7,2,136,1,1.14,1.04,1861,15
"0101020140309101","01010201403091","01010201403",1,1,137,1,0,7.37,1829,11
"0101020140309101","01010201403091","01010201403",1,2,138,1,0.02,6.79,1829,11
"0101020140309101","01010201403091","01010201403",1,3,139,1,0.05,5.68,1828,12
"0101020140309101","01010201403091","01010201403",1,4,140,1,0.06,5.54,1827,12
"0101020140309101","01010201403091","01010201403",2,1,141,1,1.29,3.52,1862,13
"0101020140309101","01010201403091","01010201403",2,2,142,1,1.28,1.31,1864,14
"0101020140309101","01010201403091","01010201403",3,1,143,1,1.22,1.6,1863,14
"0101020140309101","01010201403091","01010201403",4,1,144,1,0.94,1.98,1859,14
"0101020140309101","01010201403091","01010201403",5,1,145,1,0.08,4.85,1827,12
"0101020140309101","01010201403091","01010201403",6,1,146,1,1.4,0.9,1864,14
"0101020140309101","01010201403091","01010201403",7,1,147,3,4.17,32.14,1715,12
"0101020140309101","01010201403091","01010201403",8,1,148,1,2.69,2.2,1849,14
"0101020140309101","01010201403091","01010201403",8,2,149,1,2.6,1.23,1850,15
"0101020140310601","01010201403106","01010201403",1,1,150,1,0,18.7,1816,12
"0101020140310601","01010201403106","01010201403",1,2,151,1,0.01,18.38,1815,12
"0101020140310601","01010201403106","01010201403",4,1,154,1,0.92,2.21,1858,13
"0101020140310601","01010201403106","01010201403",4,2,155,1,0.84,2.88,1858,14
"0101020140310601","01010201403106","01010201403",5,1,156,1,0.89,2.09,1860,18
"0101020140310601","01010201403106","01010201403",5,2,157,1,1.51,1.42,1862,13
"0101020140310601","01010201403106","01010201403",6,1,158,1,0.13,14.55,1830,11
"0101020140310601","01010201403106","01010201403",6,2,159,1,0.14,15.06,1826,12
"0101020140310601","01010201403106","01010201403",7,1,160,1,0.13,15.51,1826,11
"0101020140310601","01010201403106","01010201403",8,1,161,1,0.75,1.73,1854,13
"0101020140313601","01010201403136","01010201403",1,1,162,1,0,9.3,1703,11
"0101020140313601","01010201403136","01010201403",1,2,163,1,0.02,11.34,1702,11
"0101020140313601","01010201403136","01010201403",1,3,164,1,0.02,11.24,1702,11
"0101020140313601","01010201403136","01010201403",2,1,165,3,3.09,1.36,1856,13
"0101030180400401","01010301804004","01010301804",1,4,182,1,0,7.75,1692,14
"0101030180400401","01010301804004","01010301804",1,5,183,1,0.01,7.74,1691,14
"0101030180400401","01010301804004","01010301804",1,10,188,1,0.06,7.82,1686,13
"0101030180400401","01010301804004","01010301804",1,11,189,1,0.06,9.31,1687,13
"0101030180400401","01010301804004","01010301804",2,1,190,1,2.14,5.24,1684,12
"0101030180400401","01010301804004","01010301804",2,2,191,1,2.15,8.11,1685,11
"0101030180401901","01010301804019","01010301804",1,3,194,1,0.03,14.29,1717,11
"0101030180401901","01010301804019","01010301804",3,1,198,1,0.98,17.69,1655,12
"0101030180403401","01010301804034","01010301804",1,2,200,1,0.05,8.57,1733,12
"0101030180403401","01010301804034","01010301804",1,5,203,1,0.05,8.89,1732,12
"0101030180403401","01010301804034","01010301804",1,6,204,1,0.09,7.63,1732,13
"0101030180404901","01010301804049","01010301804",1,4,209,1,0.03,3.75,1747,14
"0101030180404901","01010301804049","01010301804",3,1,213,1,0.01,3.52,1746,13
"0101030180406901","01010301804069","01010301804",1,3,216,1,0.01,26.17,1799,11
"0101030180406901","01010301804069","01010301804",1,4,217,1,0.02,26.23,1794,11
"0101030180406901","01010301804069","01010301804",2,1,220,1,0.03,25.53,1791,11
"0101030180408501","01010301804085","01010301804",1,5,225,1,0.03,3.93,1783,12
"0101030180408501","01010301804085","01010301804",1,6,226,1,0.01,3.85,1784,12
