"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs3q01","cs3q02","cs3q03","cs3q04_a","cs3q04_b","cs3q04_c","cs3q04_d","cs3q04_e","cs3q04_f","cs3q05","cs3q06","cs3q07","cs3q08","cs3q09","cs3q10","cs3q11","cs3q12_a","cs3q12_b","cs3q12_c","cs3q12_d","cs3q12_e","cs3q12_f"
"05090302001",1,5,9,3,8,88,20,1,1,11750,1864,4,1864,,,,,1,80,4,1,80,0,10,3,1864,,,,
"05090302602",1,5,9,3,8,88,26,2,2,29200,12400,4,12400,,,,,1,60,4,1,85,0,5,3,12400,,,,
"05090303404",1,5,9,3,8,88,34,4,1,6000,972,4,972,,,,,1,20,4,1,85,0,5,3,972,,,,
"05090400101",0,5,9,4,4,1,1,1,1,4500,900,4,900,,,,,1,80,1,1,70,10,20,3,900,,,,
"05090400302",1,5,9,4,8,88,3,2,2,1672,418,4,418,,,,,1,0,2,1,0,0,95,3,418,,,,
"06020100802",1,6,2,1,8,88,8,2,1,1107,760,4,753,3,7,,,1,2,2,5,2,5,1,1,393,3,160,,
"06020400402",1,6,2,4,8,88,4,2,1,3477,2020,3,1983,1,37,,,1,50,2,5,2,4,2,1,1651,,,,
"06020701002",1,6,2,7,8,88,10,2,1,2929,472,3,432,2,250,,,1,7,2,5,1,0,47,1,472,,,,
"06030100301",1,6,3,1,8,88,3,1,4,1200,620,2,620,,,,,1,25,4,5,3,3,4,1,413,,,,
"06030304202",1,6,3,3,8,88,42,2,4,1158,267,4,134,1,133,,,3,0,2,1,2,1,1,1,267,,,,
"06030500102",0,6,3,5,1,1,1,2,1,3861,680,1,300,4,200,3,180,1,3,2,5,1,2,2,1,500,3,100,2,80
"06030503003",1,6,3,5,8,88,30,3,1,6146,1348,4,1011,1,237,3,100,1,70,2,2,2,2,1,1,1348,,,,
"06040200801",1,6,4,2,8,88,8,1,4,841,120,5,50,3,40,2,30,3,35,2,5,2,1,2,1,120,,,,
"06040500203",1,6,4,5,8,88,2,3,1,1438,624,3,500,1,114,4,10,1,20,2,1,0,70,5,1,600,3,24,,
"06060800402",1,6,6,8,8,88,4,2,4,2738,425,4,410,1,10,3,5,1,33,2,3,3,1,4,1,320,3,125,,
"06060801401",1,6,6,8,8,88,14,1,1,5604,460,4,453,3,3,1,4,1,80,4,2,20,0,15,1,453,,,,
"07010300404",1,7,1,3,8,88,4,4,3,800,60,3,38,2,18,4,4,1,2,3,1,30,80,5,1,12,2,2,3,3
"07010502502",1,7,1,5,8,88,25,2,2,2266,383,1,375,3,5,3,3,1,5,2,1,3,10,0,1,375,2,8,,
"07010800701",1,7,1,8,8,88,7,1,2,2764,326,3,220,2,70,4,36,1,3,2,3,6,5,9,1,244,3,32,2,50
"07011000102",0,7,1,10,1,1,1,2,1,2887,491,4,204,1,164,2,123,1,12,4,1,0,0,0,1,295,3,196,,
"07011100401",1,7,1,11,8,88,4,1,1,2761,514,4,460,1,50,3,4,1,1,2,1,2,0,0,1,514,,,,
"07011202605",1,7,1,12,8,88,26,5,2,5944,1052,1,1052,,,,,1,7,2,5,5,3,0,1,1002,3,50,,
"07020200105",0,7,2,2,1,1,1,5,2,7028,5000,3,4857,1,93,3,50,1,30,2,5,5,0,15,3,4000,1,800,2,200
"07020201001",1,7,2,2,8,88,10,1,2,3478,593,3,587,2,5,1,1,1,5,2,5,20,0,15,1,373,3,200,4,20
"07020501302",1,7,2,5,8,88,13,2,4,5477,720,4,710,3,10,,,1,2,4,1,2,0,18,1,500,3,220,,
"07020701001",1,7,2,7,8,88,10,1,2,5329,1500,3,1499,2,1,,,3,5,4,4,15,0,3,1,1400,3,100,,
"07021001401",1,7,2,10,8,88,14,1,2,3837,384,3,380,1,3,4,1,1,5,2,1,2,0,10,3,234,1,150,,
"07030200501",1,7,3,2,8,88,5,1,2,6500,545,3,545,,,,,1,35,4,2,2,0,2,3,456,1,71,2,18
"07030400501",1,7,3,4,8,88,5,1,1,3232,622,3,622,,,,,1,40,4,5,5,5,0,3,320,1,90,2,12
"07030600204",1,7,3,6,8,88,2,4,2,5920,700,3,620,1,80,,,1,5,2,1,5,0,3,3,650,1,50,,
"07040101103",1,7,4,1,8,88,11,3,1,8185,1260,2,600,4,560,,,1,11,3,1,0,0,0,2,800,,460,,
"07040400903",1,7,4,4,8,88,9,3,2,6716,1260,3,1232,1,20,4,8,1,50,4,3,0,0,0,1,1008,3,252,,
"07040601903",1,7,4,6,8,88,19,3,2,2506,650,3,520,1,130,,,1,20,4,5,0,0,7,3,520,1,130,,
"07040901103",1,7,4,9,8,88,11,3,2,4575,985,3,905,1,35,5,30,1,20,2,3,26,0,12,1,900,3,5,,
"07041000105",0,7,4,10,1,1,1,5,1,15000,5700,3,4000,1,600,4,500,1,20,3,2,0,0,1,3,3640,2,1160,,
"07041200908",1,7,4,12,8,88,9,8,1,6559,1254,1,1003,5,163,2,50,1,10,2,3,4,1,4,1,1116,3,138,,
"07041700202",1,7,4,17,8,88,2,2,4,6134,1288,3,1096,5,128,2,64,1,15,2,1,4,1,5,3,700,1,588,,
"07050100907",1,7,5,1,8,88,9,7,2,2117,13820,3,5000,2,5000,1,0,1,25,2,4,0,0,0,1,820,3,13200,,
"07050201705",1,7,5,2,8,88,17,5,2,5421,928,3,300,2,300,4,328,1,70,2,4,0,0,0,1,500,3,428,,
"07050302201",1,7,5,3,8,88,22,1,1,4870,828,3,745,5,58,5,25,1,100,1,2,2,0,0,3,621,1,207,,
"07050500304",1,7,5,5,8,88,3,4,2,8363,1203,3,963,5,180,,60,1,60,4,2,0,0,0,3,902,1,301,,
"07050601303",1,7,5,6,8,88,13,3,1,5348,806,3,206,1,300,4,,1,60,2,4,0,0,0,1,506,3,300,,
"07060201501",1,7,6,2,8,88,15,1,4,4247,711,3,711,,,,,1,3,4,5,0,1,1,3,20,,,,
"07060300103",0,7,6,3,1,1,1,3,1,6642,1114,3,880,2,230,5,34,3,2,3,2,5,2,4,3,75,2,24,1,1
"07060500601",1,7,6,5,8,88,6,1,2,7100,1012,3,1012,,,,,1,5,4,5,40,0,20,1,50,3,15,,
"07060700601",1,7,6,7,8,88,6,1,2,7969,1003,3,1003,,,,,1,15,4,2,25,0,15,3,800,1,200,,
"07061000902",1,7,6,10,8,88,9,2,2,5650,1120,3,600,1,400,2,120,1,20,2,4,15,0,20,3,600,1,400,,
"07070100903",1,7,7,1,8,88,9,3,1,1126,271,3,198,1,49,,24,1,50,2,1,60,0,10,1,171,3,100,,
"07070202904",1,7,7,2,8,88,29,4,1,1449,479,3,390,1,88,4,1,1,60,2,3,0,0,10,3,1,4,478,,
"07070302101",1,7,7,3,8,88,21,1,2,1437,249,3,180,5,48,1,21,1,30,2,3,15,0,20,3,120,1,90,4,39
"07070600103",0,7,7,6,8,88,1,3,1,6118,874,1,471,3,314,4,89,1,6,6,1,75,0,0,1,674,3,200,,
"07080100401",1,7,8,1,8,88,4,1,3,4086,694,1,694,,,5,,1,50,4,5,15,0,25,1,521,3,173,,
"07080300206",1,7,8,3,8,88,2,6,1,10500,1350,1,1111,4,223,3,16,1,4,2,3,0,2,8,3,980,1,320,,
"07080301501",1,7,8,3,8,88,15,1,4,3827,636,3,493,2,143,,,1,5,2,1,0,4,3,3,600,,,,
"07090200503",1,7,9,2,8,88,5,3,4,3735,550,3,548,2,2,,,1,50,2,4,10,0,20,1,550,,,,
"07090500303",1,7,9,5,8,88,3,3,4,3680,702,1,699,2,1,4,2,1,25,2,3,33,0,0,1,682,2,20,,
"07090600104",0,7,9,6,1,1,1,4,1,4238,898,1,883,2,12,3,,1,1,3,2,0,0,10,1,798,2,90,3,10
"07090701501",1,7,9,7,8,88,15,1,2,2111,322,1,302,5,20,,,1,3,2,4,5,0,25,1,310,3,12,,
"07090900601",1,7,9,9,8,88,6,1,4,2465,2010,1,2000,3,10,,,1,10,7,2,0,0,6,1,1980,3,40,,
"07100100403",1,7,10,1,8,88,4,3,3,2773,521,2,200,1,200,4,121,1,20,2,3,80,0,20,1,60,3,30,4,10
"07100301001",1,7,10,3,8,88,10,1,1,4140,4140,3,4140,,,,,1,2,4,5,5,0,10,3,2898,2,1242,,
"07100602401",1,7,10,6,8,88,24,1,2,3446,573,3,270,5,270,1,33,1,1,2,3,20,65,15,1,300,3,270,,
"07100800105",0,7,10,8,1,1,1,5,1,3279,1600,1,900,3,900,,,1,1,2,5,10,10,2,1,900,2,400,3,300
"07100901703",1,7,10,9,8,88,17,3,2,4690,1050,5,1050,1,105,4,,1,5,1,4,3,0,2,1,630,3,315,3,105
"07101202901",1,7,10,12,8,88,29,1,2,4940,720,3,500,5,180,1,40,3,4,2,4,25,40,35,1,284,3,436,,
"07110100201",1,7,11,1,8,88,2,1,1,841,578,3,300,1,200,5,78,1,5,2,2,32,28,30,1,578,,,,
"07110301302",1,7,11,3,8,88,13,2,4,4826,630,3,620,5,10,,,1,60,4,4,20,30,20,1,630,,,,
"07110400302",0,7,11,4,1,1,3,2,1,3164,556,3,541,1,15,,,1,2,2,1,0,0,1,1,533,3,23,,
"07110401603",1,7,11,4,8,88,16,3,4,6152,1862,3,1362,5,62,,,1,70,2,5,2,1,1,1,1800,4,62,,
"07110502003",1,7,11,5,8,88,20,3,4,6210,1210,3,834,5,376,,,1,50,2,2,3,0,2,1,1210,,,,
"07110800501",1,7,11,8,8,88,5,1,3,651,306,5,300,,6,,,1,60,4,2,20,20,40,1,306,,,,
"07120100102",1,7,12,1,8,88,1,2,1,2297,420,4,420,,,,,1,10,2,5,10,20,15,1,420,,,,
"07120101602",1,7,12,1,8,88,16,2,4,1247,985,1,985,,,,,1,5,2,5,19,61,20,1,975,3,10,,
"07120102802",1,7,12,1,8,88,28,2,4,807,207,1,202,,5,,,1,1,2,3,10,55,20,1,200,3,7,,
"07130101301",1,7,13,1,8,88,13,1,4,5196,682,3,614,2,34,1,34,1,2,4,2,10,0,15,3,648,1,34,,
"07130102505",1,7,13,1,8,88,25,5,4,5678,780,3,610,1,170,,,1,30,4,3,5,0,10,3,610,1,170,,
"07140100402",1,7,14,1,8,88,4,2,1,3150,630,3,473,1,157,,,1,15,2,5,25,0,0,1,315,3,315,,
"07140101303",1,7,14,1,8,88,13,3,2,3721,520,3,489,2,31,,,1,10,4,3,50,0,5,3,489,2,31,,
"07150100704",1,7,15,1,8,88,7,4,2,7345,1169,3,1110,4,58,,,1,5,2,2,5,0,10,1,935,3,234,,
"07150102609",1,7,15,1,8,88,26,9,2,17000,500,4,294,3,206,,,1,40,4,4,20,0,10,1,400,3,100,,
"07150104404",1,7,15,1,8,88,44,4,2,9434,1403,5,842,3,561,,,1,13,2,4,3,1,1,1,1052,3,351,,
"07160100803",1,7,16,1,8,88,8,3,4,10960,1201,3,656,1,340,5,205,1,1,2,5,2,2,5,4,656,1,340,3,205
"07160101705",1,7,16,1,8,88,17,5,4,1323,189,3,150,1,39,,,1,0,2,3,0,0,5,1,141,3,47,,
"07170100103",1,7,17,1,8,88,1,3,3,3571,573,3,310,1,250,5,13,1,20,1,4,13,70,17,1,500,3,73,,
"07170200104",0,7,17,2,2,1,1,4,4,2125,428,3,228,1,200,,,1,3,6,3,0,0,0,3,260,1,168,,
"07170200803",1,7,17,2,8,88,8,3,2,2927,380,3,280,1,90,2,10,1,15,2,3,5,0,5,3,250,2,100,1,30
"07170301401",1,7,17,3,8,88,14,1,2,2649,425,3,300,1,100,2,25,1,10,2,3,3,0,5,3,325,1,100,,
"07170402501",1,7,17,4,8,88,25,1,2,3948,650,3,500,2,100,1,50,1,25,4,3,75,0,5,3,500,1,150,,
"07180100101",1,7,18,1,8,88,1,1,2,3117,506,3,387,5,92,2,27,1,10,2,4,6,0,20,1,346,3,160,,
"07180101001",1,7,18,1,8,88,10,1,2,1630,272,3,192,1,63,5,17,1,1,2,1,4,0,7,1,256,4,10,3,6
"07180102302",1,7,18,1,8,88,23,2,2,1150,352,3,234,1,112,4,6,1,25,4,3,75,0,25,3,75,1,25,,
"07190100701",1,7,19,1,8,88,7,1,2,2349,486,3,300,1,183,5,3,1,25,4,3,7,75,18,1,390,3,96,,
"07190102302",1,7,19,1,8,88,23,2,2,2399,427,3,180,1,126,5,21,1,15,1,4,10,75,15,3,270,1,150,,
"07200101203",1,7,20,1,8,88,12,3,2,3500,700,4,700,,,,,1,8,4,3,5,0,20,3,700,,,,
"07200203802",1,7,20,2,8,88,38,2,2,6000,1040,4,1030,1,10,,,3,50,2,1,3,0,2,3,1040,,,,
"07200500107",0,7,20,5,8,88,1,7,3,13620,1260,4,1195,3,65,,,1,68,6,1,0,0,0,3,945,1,189,2,63
"07200500604",1,7,20,5,8,88,6,4,2,3936,984,4,984,,,,,1,50,2,1,0,0,17,3,984,,,,
"07200800805",1,7,20,8,8,88,8,5,4,6342,1294,4,1294,,,,,1,15,4,3,20,55,10,3,1294,,,,
"07210103003",1,7,21,1,8,88,30,3,4,3835,771,4,769,3,2,,,1,20,4,1,25,0,13,3,771,,,,
"07210106202",1,7,21,1,8,88,62,2,4,2274,571,4,571,,,,,1,25,2,1,0,0,3,3,571,,,,
"12010100401",1,12,1,1,8,88,4,1,4,1038,147,2,74,3,73,,,1,30,3,1,75,0,0,1,147,,,,
"12010200401",1,12,1,2,8,88,4,1,1,2000,423,3,340,4,53,1,30,1,5,2,1,0,50,2,1,380,3,43,,
"12010200901",1,12,1,2,8,88,9,1,1,994,244,3,244,,,,,1,75,2,1,25,0,60,1,244,,,,
"12010300103",0,12,1,3,1,1,1,3,1,9938,1987,3,1391,1,397,4,199,1,30,4,1,0,0,0,1,1589,2,298,3,100
"12020101701",1,12,2,1,8,88,17,1,4,3500,520,3,520,,,,,1,75,4,1,20,0,0,1,520,,,,
"12020300401",1,12,2,3,8,88,4,1,3,2598,433,3,433,,,,,1,33,4,1,1,1,2,1,433,,,,
"12030100107",1,12,3,1,8,88,1,7,1,2930,1000,1,366,3,334,4,300,1,40,2,2,10,0,15,1,700,3,300,,
"12030100704",1,12,3,1,8,88,7,4,1,5000,1000,4,700,1,288,3,2,1,5,2,5,9,5,5,1,400,3,460,,
"12030201002",1,12,3,2,8,88,10,2,1,2458,479,1,250,4,160,3,69,1,5,2,5,5,25,10,1,390,3,89,,
"12030240301",1,12,3,2,8,88,403,1,1,2500,1300,1,600,4,345,3,365,1,5,2,1,10,85,5,1,610,3,540,4,150
"12040101602",1,12,4,1,8,88,16,2,4,1600,740,3,740,,,,,1,40,7,1,40,0,0,1,740,,,,
"13010100102",1,13,1,1,8,88,1,2,4,3000,601,4,601,,,,,1,10,2,1,0,0,0,1,400,3,201,,
"13010100303",1,13,1,1,8,88,3,3,4,5000,900,4,890,1,10,,,1,10,2,1,0,0,0,1,700,3,200,,
"13010100405",1,13,1,1,8,88,4,5,4,9000,2000,4,2000,,,,,1,10,2,1,0,0,0,1,1500,1,500,,
"13010100601",1,13,1,1,8,88,6,1,4,4389,1115,4,1113,1,2,,,1,10,2,2,20,0,0,1,6,,,,
"13010100704",1,13,1,1,8,88,7,4,3,7000,2000,4,1900,1,10,,,1,10,2,5,10,0,5,1,1800,3,200,,
"13010100905",1,13,1,1,8,88,9,5,1,4000,1360,4,1360,,,,,1,15,2,5,20,0,0,1,1000,3,360,,
"13010101103",1,13,1,1,8,88,11,3,1,2333,900,4,700,1,200,,,1,10,2,1,2,0,0,1,700,2,200,,
"13010101304",1,13,1,1,8,88,13,4,2,4500,2000,4,1950,5,35,1,15,1,25,2,5,25,0,25,1,1200,3,800,,
"13010101405",1,13,1,1,8,88,14,5,1,7555,1937,4,1937,,,,,1,10,2,3,40,0,40,1,6,,,,
"13010101603",1,13,1,1,8,88,16,3,1,3662,940,4,938,1,2,,,1,10,2,5,30,0,10,1,940,,,,
"15010200404",1,15,1,2,8,88,4,4,2,4020,670,4,667,1,3,,,1,3,2,5,55,0,0,1,660,,,,
"15010200704",1,15,1,2,8,88,7,4,1,5070,800,4,800,1,6,,,1,1,2,4,40,0,20,1,800,,,,
"15010201002",1,15,1,2,8,88,10,2,4,3392,729,4,720,1,9,,,1,3,2,3,60,0,10,1,729,,,,
"15010201201",1,15,1,2,8,88,12,1,1,5663,1191,4,1191,,,,,1,10,2,5,5,0,0,1,1191,,,,
"15010201401",1,15,1,2,8,88,14,1,3,7984,1463,4,1448,1,14,3,1,1,10,2,3,70,0,10,3,1282,1,142,,
"15010201605",1,15,1,2,8,88,16,5,3,9000,1430,4,1410,1,19,2,1,1,6,2,5,40,0,20,1,1148,3,282,,
"15010201805",1,15,1,2,8,88,18,5,2,5095,1081,4,1081,,,,,1,1,2,4,40,0,0,1,1081,,,,
"15010202404",1,15,1,2,8,88,24,4,3,4000,789,4,781,1,2,3,6,1,3,2,5,75,0,3,3,781,,,,
"15010202801",1,15,1,2,8,88,28,1,1,3372,674,4,674,,,,,1,10,4,4,25,15,10,3,674,,,,
"15010203102",1,15,1,2,8,88,31,2,2,5316,886,4,882,3,4,,,1,5,4,2,40,20,25,1,886,,,,
