"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s6aq00","hh_s6aq0a","hh_s6aq01","hh_s6aq02"
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,6,"Other personal care goods",1,2
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,7,"Charcoal",2,
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,8,"Firewood",1,25
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,9,"Kerosene",2,
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,11,"Transport",2,
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,1,"Matches",1,2
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,2,"Batteries",1,5
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,3,"Candles, incense",1,4
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,4,"Laundry soap",1,9
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,5,"Hand soap",1,12
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,6,"Other personal care goods",1,2
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,7,"Charcoal",2,
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,8,"Firewood",2,
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,9,"Kerosene",2,
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,11,"Transport",2,
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,1,"Matches",1,5
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,2,"Batteries",1,10
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,3,"Candles, incense",2,
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,4,"Laundry soap",1,10
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,5,"Hand soap",1,7
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,6,"Other personal care goods",1,3
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,7,"Charcoal",2,
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,8,"Firewood",2,
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,9,"Kerosene",2,
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,11,"Transport",2,
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,1,"Matches",1,1
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,2,"Batteries",1,10
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,3,"Candles, incense",2,
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,4,"Laundry soap",1,10
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,5,"Hand soap",2,
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,6,"Other personal care goods",1,6
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,7,"Charcoal",2,
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,8,"Firewood",2,
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,9,"Kerosene",1,8
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,11,"Transport",2,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,1,"Matches",1,1
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,2,"Batteries",1,20
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,3,"Candles, incense",2,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,4,"Laundry soap",1,20
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,5,"Hand soap",1,12
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,6,"Other personal care goods",2,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,7,"Charcoal",2,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,8,"Firewood",2,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,9,"Kerosene",2,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,11,"Transport",2,
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,1,"Matches",1,1
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,2,"Batteries",2,
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,3,"Candles, incense",2,
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,4,"Laundry soap",1,9
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,5,"Hand soap",1,7
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,6,"Other personal care goods",1,6
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,7,"Charcoal",2,
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,8,"Firewood",2,
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,9,"Kerosene",1,8
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,11,"Transport",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,1,"Matches",1,1
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,2,"Batteries",1,8
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,3,"Candles, incense",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,4,"Laundry soap",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,5,"Hand soap",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,6,"Other personal care goods",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,7,"Charcoal",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,8,"Firewood",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,9,"Kerosene",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,11,"Transport",2,
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,1,"Matches",1,2
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,2,"Batteries",1,4
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,3,"Candles, incense",2,
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,4,"Laundry soap",1,12
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,5,"Hand soap",2,
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,6,"Other personal care goods",2,
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,7,"Charcoal",2,
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,8,"Firewood",2,
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,9,"Kerosene",1,24
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,11,"Transport",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,1,"Matches",1,1
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,2,"Batteries",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,3,"Candles, incense",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,4,"Laundry soap",1,9
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,5,"Hand soap",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,6,"Other personal care goods",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,7,"Charcoal",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,8,"Firewood",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,9,"Kerosene",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,10,"Cigarettes, tobacco, suret, ga",2,
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,11,"Transport",2,
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,1,"Matches",1,2
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,2,"Batteries",1,10
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,3,"Candles, incense",2,
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,4,"Laundry soap",1,28
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,5,"Hand soap",1,12
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,6,"Other personal care goods",2,
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,7,"Charcoal",2,
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,8,"Firewood",2,
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,9,"Kerosene",1,12
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,10,"Cigarettes, tobacco, suret, ga",2,
