"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q08","cs6q09_1","cs6q09_2","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"04030201803",1,4,3,2,8,88,18,3,1,2,6,3,8,8,11,3,4,4,2,1,1,1,,,1,410,3,1,1,1,1,1,1,3,5,4,4,4,2,4,9,9,4,9,9,3
"04030800108",0,4,3,8,1,0,1,8,1,72,,,10,,,4,,,2,3,1,2,5,,2,,4,2,4,3,9,9,1,9,9,9,9,9,5,5,9,9,4,3,4,5
"04030800401",1,4,3,8,8,88,4,1,1,7,2,1,11,7,12,3,2,4,1,2,3,1,,,1,250,3,2,3,1,3,3,3,1,4,4,2,4,2,5,1,3,5,3,4,3
"04031400602",1,4,3,14,8,88,6,2,1,2,7,6,9,11,8,3,4,4,3,3,1,1,,,2,,3,2,3,1,1,1,1,1,1,1,5,5,4,4,4,4,3,3,9,3
"04040101103",1,4,4,1,8,88,11,3,1,2,13,25,8,9,10,3,4,5,3,1,1,1,,,1,40,3,1,1,1,1,1,1,1,1,1,1,1,4,5,2,2,5,2,2,2
"04040501902",1,4,4,5,8,88,19,2,1,2,6,7,7,8,9,3,2,4,2,2,3,1,,,2,,3,2,3,1,1,1,1,1,3,4,1,1,5,5,5,9,5,9,4,5
"04041000701",1,4,4,10,8,88,7,1,1,2,6,7,8,7,11,3,4,,3,1,2,1,,,2,,3,2,3,1,1,1,1,3,4,4,4,4,3,3,3,3,4,3,4,3
"04041200104",0,4,4,12,8,88,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"04041401702",1,4,4,14,8,88,17,2,1,2,7,6,6,11,8,2,3,4,1,2,3,1,,,1,15,3,2,3,3,3,3,9,1,2,2,2,2,4,5,4,4,5,3,4,4
"04050303104",1,4,5,3,8,88,31,4,1,74,1,8,9,10,11,4,5,6,2,1,1,1,,,2,,3,2,3,1,3,3,3,3,4,4,3,3,4,3,3,3,9,9,3,9
"04050803103",1,4,5,8,8,88,31,3,1,2,38,7,9,10,11,3,3,2,3,3,1,1,,,2,,3,2,3,1,2,2,9,1,4,4,9,3,4,3,9,9,3,9,4,9
"04051200104",0,4,5,12,8,88,1,4,,,,,,,,,,,1,1,1,2,0,0,2,,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3
"04051302405",1,4,5,13,8,88,24,5,1,7,8,16,11,10,1,5,4,,2,2,1,1,,,2,,1,1,1,1,2,2,2,2,4,4,2,4,4,2,1,3,4,4,3,4
"04060100102",0,4,6,1,1,1,1,2,1,7,8,13,11,10,,3,4,5,2,2,1,2,3,,2,,1,1,1,1,9,9,1,9,9,9,9,9,4,4,9,9,5,3,2,4
"04060102303",1,4,6,1,8,88,23,3,1,7,16,8,12,1,10,4,5,6,2,3,1,1,,,2,,3,1,1,1,1,1,1,1,4,4,5,5,4,4,1,1,5,4,1,4
"04060501004",1,4,6,5,8,88,10,4,1,1,8,13,9,10,,3,4,,2,3,2,1,,,2,,3,3,3,1,3,3,1,3,4,4,4,4,4,4,5,4,5,4,3,4
"04060801902",1,4,6,8,8,88,19,2,1,8,7,11,1,11,12,4,5,6,1,1,1,1,,,2,,3,4,1,2,2,2,2,2,4,4,4,3,1,1,1,4,3,1,1,9
"04070101502",1,4,7,1,8,88,15,2,1,2,7,12,5,10,5,9,3,2,3,3,3,1,,,1,445,2,2,1,1,1,1,1,1,4,4,3,3,4,4,3,2,4,4,4,3
"04070401002",1,4,7,4,8,88,10,2,1,7,11,8,11,12,11,3,4,2,2,3,1,1,,,2,,3,3,3,1,1,3,1,1,1,1,1,1,4,4,3,3,4,4,4,4
"04070702702",1,4,7,7,8,88,27,2,1,8,2,7,10,11,,1,3,,2,3,2,2,2,,1,50,3,2,1,3,2,2,1,1,4,4,1,1,4,5,1,9,5,9,4,9
"04071202302",1,4,7,12,8,88,23,2,1,7,11,8,11,12,11,3,4,3,2,3,1,1,,,2,,3,2,1,1,1,1,1,1,5,4,4,4,4,4,3,4,4,4,4,3
"04080600802",1,4,8,6,8,88,8,2,1,2,8,7,9,11,11,3,2,3,2,2,2,1,,,2,,3,2,3,1,1,1,1,1,4,5,4,4,4,4,4,4,4,3,1,5
"04080800107",0,4,8,8,8,88,1,7,1,8,7,2,10,11,,3,4,5,3,3,3,1,,,2,,3,3,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,3,3,3
"04081202401",1,4,8,12,8,88,24,1,1,8,7,2,8,11,12,4,5,6,1,3,3,1,,,2,,3,2,3,1,1,1,3,3,1,1,1,1,2,2,1,3,2,1,2,3
"04081702801",1,4,8,17,8,88,28,1,1,1,13,60,10,6,,4,5,11,2,2,2,1,,,1,5,3,3,3,1,1,1,1,1,4,4,4,4,4,4,1,1,4,4,2,4
"04090100304",1,4,9,1,8,88,3,4,1,6,2,27,10,10,7,4,4,2,2,3,1,1,,,2,,1,1,1,1,1,1,9,9,3,4,3,9,2,2,9,9,4,9,4,9
"04090700105",1,4,9,7,8,88,1,5,1,6,2,12,8,10,11,4,2,2,2,2,1,1,,,1,180,1,4,4,1,1,3,9,9,4,4,3,3,2,3,9,9,4,4,4,9
"04090900105",0,4,9,9,1,1,1,5,1,1,6,12,8,7,10,12,3,2,3,3,1,2,7,,2,,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,4,4,4,4,4
"04091001104",1,4,9,10,8,88,11,4,1,2,6,1,8,9,10,3,1,4,3,3,1,1,,,1,240,3,2,3,1,1,1,1,2,4,4,2,4,4,4,1,4,4,4,4,4
"04091301004",1,4,9,13,8,88,10,4,1,6,2,12,8,8,11,4,2,3,3,3,1,1,,,1,120,3,1,3,1,1,1,9,9,1,1,9,9,2,2,9,9,9,9,4,4
"04100500403",1,4,10,5,8,88,4,3,1,6,2,8,8,10,10,4,4,5,2,3,1,1,,,1,15,3,2,1,1,3,3,3,3,4,4,4,4,1,4,3,3,4,3,4,3
"04100903605",1,4,10,9,8,88,36,5,1,1,6,8,7,8,11,2,3,4,3,3,1,1,,,1,200,3,2,3,1,1,1,1,1,4,4,3,4,4,4,3,3,4,3,1,3
"04101302203",1,4,10,13,8,88,22,3,1,2,6,72,7,8,,4,10,11,2,3,1,1,,,1,600,1,1,3,1,1,1,3,3,1,1,3,1,4,4,1,1,4,4,3,3
"04101600104",0,4,10,16,8,88,1,4,1,2,8,60,8,11,,3,4,,3,3,1,1,,,2,,2,1,3,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,1
"04110401304",1,4,11,4,8,88,13,4,1,8,1,4,11,11,11,5,4,5,1,2,1,1,,,2,,3,2,3,3,1,1,1,1,5,5,5,5,4,4,4,4,5,4,4,4
"04110801402",1,4,11,8,8,88,14,2,1,8,1,7,8,1,,12,5,,3,3,3,1,,,2,,3,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,4,1,1,2
"04111200402",1,4,11,12,8,88,4,2,1,,7,,7,1,,10,5,,3,1,3,1,,,1,200,3,2,3,1,1,1,3,1,5,5,3,5,4,4,3,4,4,3,4,3
"04111601404",1,4,11,16,8,88,14,4,1,8,1,13,8,1,8,12,5,12,3,2,1,1,,,2,,3,2,3,3,1,1,1,1,4,5,4,4,4,5,5,5,5,5,3,4
"04111800102",0,4,11,18,8,88,1,2,1,8,2,7,1,7,,4,10,,3,3,1,1,,,2,,4,2,1,1,9,2,3,2,1,1,1,1,1,1,2,2,5,2,3,9
"04120602801",1,4,12,6,8,88,28,1,1,72,74,71,8,8,8,3,4,,2,3,1,1,,,2,,1,4,1,1,2,2,1,9,4,4,9,4,4,4,9,9,4,2,3,4
"04121101301",1,4,12,11,8,88,13,1,1,12,8,7,8,8,8,11,12,11,3,3,1,1,,,2,,4,1,1,1,9,3,3,3,4,4,9,4,1,1,9,9,5,4,3,4
"04121600101",1,4,12,16,8,88,1,1,1,12,2,7,7,8,7,11,12,12,2,3,1,1,,,2,,1,1,1,1,9,3,3,3,4,4,9,4,1,1,9,9,5,4,3,4
"04130201103",1,4,13,2,8,88,11,3,1,74,8,60,6,10,11,3,4,5,2,2,2,1,,,2,,3,3,3,2,1,2,3,3,3,3,3,3,2,1,1,4,1,1,1,3
"04130500102",0,4,13,5,8,88,1,2,1,7,14,16,10,11,12,3,4,5,3,3,1,1,,,2,,3,1,3,1,1,1,1,1,4,4,4,4,2,2,4,4,4,4,4,4
"04130600204",1,4,13,6,8,88,2,4,1,1,8,13,10,11,10,4,4,3,2,1,1,1,,,2,,3,1,1,1,1,1,1,1,5,3,1,3,4,3,4,4,2,2,3,3
"04130901003",1,4,13,9,8,88,10,3,1,7,8,1,10,11,9,4,5,3,3,3,3,1,,,1,95,3,3,3,1,3,3,3,3,5,4,3,3,4,4,3,4,3,3,3,3
"04140202701",1,4,14,2,8,88,27,1,1,2,74,7,8,7,1,3,4,,2,2,3,1,,,2,,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,1,1,3,2,2
"04140501906",1,4,14,5,8,88,19,6,1,2,7,8,7,1,1,12,4,4,1,1,3,1,,,2,,4,4,4,1,9,9,9,9,4,4,9,9,2,9,9,9,4,2,4,4
"04140900501",1,4,14,9,8,88,5,1,1,74,1,13,8,11,12,4,5,6,1,3,3,1,,,2,,3,4,1,1,1,1,3,3,4,4,9,4,4,4,9,9,4,2,3,4
"04170301901",1,4,17,3,8,88,19,1,1,8,2,1,8,11,12,4,5,,2,2,2,1,,,2,,3,3,1,1,1,2,2,1,5,5,2,5,4,4,2,2,3,9,2,9
"04170700204",1,4,17,7,8,88,2,4,1,8,2,7,10,11,,2,3,2,3,2,1,1,,,2,,3,3,3,1,1,1,1,1,4,4,2,4,4,4,4,4,4,4,4,9
"04171200807",1,4,17,12,8,88,8,7,1,2,7,12,7,9,8,2,3,,2,3,1,1,,,2,,3,2,1,3,1,1,3,1,1,1,3,5,4,4,1,9,4,3,3,3
"04180301004",1,4,18,3,8,88,10,4,1,7,2,1,11,8,8,4,5,,2,2,1,1,,,2,,3,3,3,1,1,1,1,1,4,4,4,4,4,4,1,1,4,3,4,2
"04180701106",1,4,18,7,8,88,11,6,1,72,2,6,8,9,12,3,4,5,1,3,1,1,,,1,18,3,3,3,1,1,3,1,3,4,5,1,4,4,4,2,2,3,3,5,5
"04190100103",1,4,19,1,8,88,1,3,1,7,25,2,1,11,9,4,5,3,2,3,1,1,,,2,,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3
"04190400101",1,4,19,4,8,88,1,1,1,7,2,8,9,11,10,4,3,5,2,3,1,2,6,,2,,3,1,1,1,1,1,1,1,4,4,5,1,2,2,4,5,1,2,4,3
"04190800704",1,4,19,8,8,88,7,4,1,7,2,25,11,9,10,3,4,5,2,3,1,1,,,1,150,3,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,3,4,3
"05010100902",1,5,1,1,8,88,9,2,1,2,63,58,1,4,5,3,5,,2,3,1,1,,,1,12,4,4,4,1,9,9,9,3,3,3,3,3,3,4,9,9,3,9,9,3
"05010200101",0,5,1,2,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05010202401",1,5,1,2,8,88,24,1,1,2,6,,7,8,,10,1,,3,3,2,1,,,2,,1,1,1,1,3,3,3,3,3,3,3,3,2,2,9,9,4,2,9,4
"05010301101",1,5,1,3,8,88,11,1,1,6,2,,8,10,,2,1,,1,2,2,1,,,2,,4,4,4,1,9,9,9,9,9,9,9,9,2,9,9,9,4,9,1,4
"05010401102",1,5,1,4,8,88,11,2,1,6,47,71,10,5,5,2,2,8,3,3,1,1,,,1,668,2,1,1,1,2,2,1,2,4,4,4,4,2,4,9,9,4,9,4,4
"05010401701",1,5,1,4,8,88,17,1,1,6,71,44,9,7,7,2,11,8,3,3,1,1,,,1,57,4,1,4,1,3,2,3,1,4,4,9,4,2,4,3,9,4,9,4,4
"05020200102",0,5,2,2,8,88,1,2,1,6,24,2,9,8,9,3,3,3,3,3,1,1,,,2,,2,2,1,1,2,2,3,2,3,2,3,2,2,2,1,9,3,3,4,3
"05020201001",1,5,2,2,8,88,10,1,1,6,24,2,9,8,9,3,3,3,3,3,1,1,,,2,,1,2,1,3,2,2,3,3,2,2,2,3,2,2,2,4,3,3,5,3
"05020408901",1,5,2,4,8,88,89,1,1,2,6,,7,8,9,3,4,,2,3,1,2,7,,2,,1,4,4,1,9,9,9,9,9,9,9,9,3,3,9,9,9,9,3,9
"05020416502",1,5,2,4,8,88,165,2,1,71,2,6,8,9,8,11,3,3,3,3,3,1,,,2,,2,2,1,3,2,1,3,3,4,4,3,2,2,2,3,9,3,2,2,4
"05020600901",1,5,2,6,8,88,9,1,1,2,6,8,8,7,11,10,3,5,3,3,1,2,25,,2,,4,4,4,1,2,2,2,2,2,2,2,2,1,2,9,9,2,2,2,3
"05020602801",1,5,2,6,8,88,28,1,1,2,6,8,11,12,1,2,3,4,3,3,1,1,,,2,,1,4,4,1,9,9,9,9,9,9,9,9,3,3,9,9,9,9,3,9
"05020603803",1,5,2,6,8,88,38,3,1,2,6,,7,8,9,11,12,,3,2,1,2,10,,2,,1,4,4,1,9,9,9,9,9,9,9,9,3,3,9,9,9,9,3,9
"05020704801",1,5,2,7,8,88,48,1,1,2,6,123,8,7,12,11,2,,1,3,3,2,6,,2,,2,2,2,1,2,2,2,2,3,3,3,3,2,2,2,1,5,2,3,9
"05020709201",1,5,2,7,8,88,92,1,1,2,,,8,7,11,4,3,,1,3,3,1,,,2,,4,2,1,1,3,3,3,3,9,9,9,9,2,2,2,1,2,2,2,2
"05090100907",1,5,9,1,8,88,9,7,1,2,6,,8,9,,11,12,1,3,3,1,1,,,2,,4,1,1,1,9,3,3,3,4,4,4,4,4,4,4,4,5,3,4,5
"05090102802",1,5,9,1,8,88,28,2,1,2,12,8,2,11,,2,1,,3,3,1,1,,,2,,4,4,4,1,3,3,3,3,3,4,3,3,3,3,3,3,4,3,1,4
"05090201201",1,5,9,2,8,88,12,1,1,2,6,,2,3,7,5,10,,3,3,3,1,,,2,,4,1,1,1,9,3,3,3,4,4,4,4,4,4,9,4,4,4,3,4
"05090302001",1,5,9,3,8,88,20,1,1,2,12,,8,,,12,,,1,2,2,2,43,,2,,4,1,4,1,3,9,9,1,4,9,9,9,4,3,9,9,5,5,9,9
"05090302602",1,5,9,3,8,88,26,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05090303404",1,5,9,3,8,88,34,4,1,2,12,6,8,,,12,11,,1,2,2,2,32,,2,,4,1,4,1,3,9,3,1,9,9,9,9,5,5,9,9,5,5,9,4
"05090400101",0,5,9,4,4,1,1,1,1,2,51,63,2,3,,4,5,,3,3,2,1,,,1,6,1,1,1,1,1,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"05090400302",1,5,9,4,8,88,3,2,1,2,3,,1,8,,5,11,,1,3,3,1,,,1,40,4,4,4,1,3,3,3,3,4,4,4,4,2,2,9,9,1,9,9,9
"06020100802",1,6,2,1,8,88,8,2,1,27,24,2,10,10,9,3,4,5,2,1,2,1,,,1,11,1,2,1,1,1,3,1,3,1,1,3,1,4,4,3,3,4,4,3,3
"06020400402",1,6,2,4,8,88,4,2,1,2,6,3,10,9,9,3,4,5,2,1,2,1,,,1,10,1,2,1,1,1,1,1,3,4,4,4,3,4,4,4,3,3,2,3,4
"06020701002",1,6,2,7,8,88,10,2,1,2,3,24,9,10,10,4,5,3,2,3,1,1,,,1,250,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,9
"06030100301",1,6,3,1,8,88,3,1,1,6,27,2,9,10,,3,4,,2,3,2,1,,,2,,1,4,1,1,2,1,2,3,4,4,3,4,4,3,3,3,3,3,5,4
"06030304202",1,6,3,3,8,88,42,2,1,3,7,2,10,12,9,3,4,3,1,2,2,1,,,1,200,1,1,1,1,1,2,3,2,4,4,3,3,4,3,2,5,2,9,4,4
"06030500102",0,6,3,5,1,1,1,2,1,6,2,3,8,9,10,4,5,6,1,2,1,1,,,1,4,3,2,1,1,1,1,1,3,4,4,4,4,4,4,5,2,4,2,2,4
"06030503003",1,6,3,5,8,88,30,3,1,6,2,25,8,8,11,5,3,4,3,3,1,1,,,1,100,1,1,1,1,1,1,3,9,4,4,5,4,4,4,4,3,2,9,4,9
"06040200801",1,6,4,2,8,88,8,1,1,6,2,27,8,9,10,4,2,3,2,2,2,1,,,2,,1,1,1,1,1,1,2,9,4,4,2,4,4,3,4,4,3,9,3,3
"06040500203",1,6,4,5,8,88,2,3,1,2,6,27,9,8,10,3,4,3,2,3,1,1,,,1,54,1,4,1,1,1,1,1,3,4,4,4,4,2,2,4,4,3,4,3,4
"06060800402",1,6,6,8,8,88,4,2,1,6,2,12,9,10,11,3,4,5,2,2,1,1,,,1,60,1,1,1,1,3,1,3,1,1,1,3,5,2,2,2,3,2,3,3,2
"06060801401",1,6,6,8,8,88,14,1,1,2,6,3,9,10,11,3,4,5,2,3,1,1,,,2,,1,1,1,1,3,1,2,2,4,4,3,4,2,2,9,9,3,9,4,9
"07010300404",1,7,1,3,8,88,4,4,1,74,71,72,5,10,11,3,4,5,2,1,1,1,,,2,,1,1,1,1,1,1,1,1,2,4,2,2,4,4,4,4,5,4,4,4
"07010502502",1,7,1,5,8,88,25,2,1,8,2,7,8,10,11,2,3,4,3,3,1,1,,,2,,1,2,1,1,1,2,1,9,4,4,4,4,4,4,2,4,2,4,4,9
"07010800701",1,7,1,8,8,88,7,1,1,74,8,1,10,5,11,11,6,5,2,2,2,1,,,2,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4
"07011000102",0,7,1,10,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07011100401",1,7,1,11,8,88,4,1,1,7,74,2,11,12,8,3,4,5,3,2,2,1,,,1,90,3,1,1,1,1,1,1,3,4,4,4,5,4,4,4,5,5,4,4,4
"07011202605",1,7,1,12,8,88,26,5,1,1,60,56,9,10,11,4,2,3,2,3,1,1,,,2,,3,1,1,1,1,1,1,9,5,4,4,4,4,4,4,4,4,3,4,3
"07020200105",0,7,2,2,1,1,1,5,1,8,7,2,8,10,11,3,4,,2,3,3,1,,,2,,1,2,1,1,1,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"07020201001",1,7,2,2,8,88,10,1,1,2,7,8,9,10,11,3,4,,1,3,3,1,,,2,,1,1,1,1,1,3,1,3,4,4,4,4,4,4,4,4,4,4,4,3
"07020501302",1,7,2,5,8,88,13,2,1,2,7,12,5,12,7,3,3,3,3,3,1,1,,,2,,3,1,3,1,1,1,1,1,4,4,4,4,2,2,4,3,4,4,4,4
"07020701001",1,7,2,7,8,88,10,1,1,8,74,1,11,5,11,11,5,11,2,2,2,1,,,2,,3,3,1,1,1,1,1,1,5,5,5,5,4,4,5,4,5,4,4,3
"07021001401",1,7,2,10,8,88,14,1,1,7,8,6,11,7,,3,4,,2,2,3,1,,,2,,1,1,1,1,1,3,1,3,5,5,4,5,4,5,4,4,4,4,4,4
"07030200501",1,7,3,2,8,88,5,1,1,7,2,6,12,8,8,3,3,3,1,3,1,1,,,1,22,1,1,1,1,1,1,1,1,4,5,4,4,4,4,4,4,5,4,4,4
"07030400501",1,7,3,4,8,88,5,1,1,8,1,13,10,11,,3,4,,2,1,2,1,,,2,,1,1,1,1,1,1,1,1,5,5,5,4,4,4,4,4,4,4,4,9
"07030600204",1,7,3,6,8,88,2,4,1,8,7,60,11,6,7,4,3,10,2,2,1,1,,,2,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,4,1,4,3
"07040101103",1,7,4,1,8,88,11,3,1,72,74,2,3,4,2,3,4,2,2,2,2,1,,,2,,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"07040400903",1,7,4,4,8,88,9,3,1,72,74,2,8,10,7,3,4,12,1,3,2,1,,,2,,1,4,1,1,1,1,1,3,5,5,5,5,4,4,4,4,4,4,4,4
"07040601903",1,7,4,6,8,88,19,3,1,72,74,2,8,6,7,2,5,2,2,3,3,1,,,2,,1,2,1,1,1,1,1,9,4,4,4,4,4,4,2,4,4,3,4,2
"07040901103",1,7,4,9,8,88,11,3,1,2,12,7,8,12,1,4,12,1,2,3,3,1,,,1,15,1,1,1,1,1,1,1,3,5,5,4,4,5,4,4,2,2,2,3,2
"07041000105",0,7,4,10,1,1,1,5,1,72,74,2,8,11,,1,2,3,2,2,3,1,,,2,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,9,3,4
"07041200908",1,7,4,12,8,88,9,8,1,72,74,71,7,11,12,1,3,4,2,3,3,2,3,,1,275,1,2,1,1,1,1,3,3,4,4,4,4,4,5,2,4,3,4,4,4
"07041700202",1,7,4,17,8,88,2,2,1,72,71,74,7,8,9,12,2,3,2,3,3,2,7,,2,,1,2,1,1,1,1,1,3,4,4,4,4,4,3,3,4,3,3,3,9
"07050100907",1,7,5,1,8,88,9,7,1,74,72,2,7,8,8,4,3,,1,3,2,1,,,2,,1,4,1,1,3,3,1,3,5,5,5,5,4,5,1,9,5,4,2,4
"07050201705",1,7,5,2,8,88,17,5,1,14,2,13,8,7,7,5,5,,1,3,3,1,,,2,,1,4,1,1,2,3,1,3,4,4,3,4,4,5,3,3,5,3,2,4
"07050302201",1,7,5,3,8,88,22,1,1,72,74,2,7,8,8,3,3,2,2,3,3,1,,,2,,1,1,1,1,3,3,1,3,5,5,5,5,5,5,4,4,4,3,4,4
"07050500304",1,7,5,5,8,88,3,4,1,72,74,2,7,8,8,2,2,3,2,2,3,1,,,2,,1,4,1,1,9,3,1,9,4,4,3,4,4,4,3,3,4,3,3,4
"07050601303",1,7,5,6,8,88,13,3,1,72,74,2,8,7,8,4,,5,1,3,3,1,,,2,,1,1,1,1,1,1,1,2,4,4,3,4,4,4,3,3,5,3,2,5
"07060201501",1,7,6,2,8,88,15,1,1,2,12,8,5,6,11,11,10,3,3,3,1,1,,,2,,3,1,1,1,1,3,3,3,4,5,4,3,3,3,3,4,5,3,4,3
"07060300103",0,7,6,3,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07060500601",1,7,6,5,8,88,6,1,1,8,7,12,11,11,7,3,3,11,3,3,1,1,,,1,48,1,1,1,1,1,1,1,1,4,5,5,4,4,3,4,4,5,4,5,3
"07060700601",1,7,6,7,8,88,6,1,1,2,7,12,7,11,7,1,2,3,2,3,2,1,,,1,5,3,1,1,1,1,1,1,3,4,4,4,3,5,4,4,4,4,4,4,4
"07061000902",1,7,6,10,8,88,9,2,1,102,74,12,7,7,11,1,9,3,1,3,3,1,,,2,,1,1,1,1,3,1,3,3,5,5,5,5,4,4,4,4,4,4,3,4
"07070100903",1,7,7,1,8,88,9,3,1,2,27,6,7,5,7,12,11,11,1,1,3,1,,,2,,1,4,1,1,1,1,1,9,2,2,5,5,4,4,4,4,4,9,9,4
"07070202904",1,7,7,2,8,88,29,4,1,2,8,1,6,11,12,3,5,5,3,2,3,1,,,2,,1,1,1,1,1,1,9,1,1,4,4,4,1,5,1,9,4,4,9,9
"07070302101",1,7,7,3,8,88,21,1,1,14,1,8,11,12,,4,5,6,2,1,1,1,,,2,,1,1,1,1,1,1,1,2,4,2,4,4,4,3,3,2,3,3,4,2
"07070600103",0,7,7,6,8,88,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07080100401",1,7,8,1,8,88,4,1,1,74,2,15,5,5,12,1,10,4,1,1,3,1,,,2,,1,1,1,1,1,1,1,3,5,5,5,5,4,4,2,4,9,9,1,9
"07080300206",1,7,8,3,8,88,2,6,1,72,74,2,9,6,6,2,,1,2,3,3,1,,,2,,3,4,3,1,1,1,3,3,4,4,3,4,4,4,3,5,4,3,3,5
"07080301501",1,7,8,3,8,88,15,1,1,72,39,6,9,10,10,2,6,5,1,3,3,1,,,2,,3,4,3,1,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3,4
"07090200503",1,7,9,2,8,88,5,3,1,13,74,15,10,5,12,4,12,4,1,3,3,1,,,2,,1,1,1,1,1,1,3,2,4,4,4,4,2,2,4,5,5,3,4,3
"07090500303",1,7,9,5,8,88,3,3,1,2,7,6,7,11,12,3,4,,2,2,2,2,2,,2,,2,1,1,1,1,1,1,3,4,4,2,4,4,4,2,2,4,9,4,3
"07090600104",0,7,9,6,1,1,1,4,1,8,1,13,11,12,,3,4,5,2,1,3,1,,,2,,1,1,1,1,1,1,1,1,4,4,2,1,2,4,2,3,4,3,4,3
"07090701501",1,7,9,7,8,88,15,1,1,6,7,2,7,11,6,3,4,5,1,2,3,1,,,2,,1,1,1,1,1,1,1,1,3,3,1,3,2,4,2,2,4,9,2,3
"07090900601",1,7,9,9,8,88,6,1,1,2,7,1,5,12,12,2,3,3,1,1,3,1,,,2,,1,4,1,1,3,3,3,2,4,4,3,3,3,4,3,4,3,3,4,3
"07100100403",1,7,10,1,8,88,4,3,1,7,2,72,11,6,,3,1,,1,3,3,1,,,2,,1,4,1,1,1,1,3,3,5,5,2,4,4,5,3,4,5,3,5,4
"07100301001",1,7,10,3,8,88,10,1,1,2,12,7,7,7,12,2,3,3,3,3,3,1,,,2,,1,1,1,2,1,1,1,3,4,4,4,4,2,2,3,3,4,2,4,4
"07100602401",1,7,10,6,8,88,24,1,1,2,7,6,7,12,8,11,4,5,1,3,3,1,,,2,,1,4,1,1,3,3,3,3,4,4,3,4,3,3,9,3,4,3,4,3
"07100800105",0,7,10,8,1,1,1,5,1,4,,,,,,,,,1,3,3,2,2,,2,,4,1,1,1,9,9,9,9,9,9,9,9,3,9,9,9,3,2,3,9
"07100901703",1,7,10,9,8,88,17,3,1,1,60,74,11,4,3,4,9,,1,1,2,1,,,2,,1,4,1,1,1,1,1,9,4,4,4,4,1,1,4,2,2,4,4,4
"07101202901",1,7,10,12,8,88,29,1,1,2,8,7,12,12,12,5,5,4,3,3,3,1,,,2,,1,2,1,1,1,1,3,3,4,4,4,9,2,2,4,4,4,3,4,3
"07110100201",1,7,11,1,8,88,2,1,1,72,2,6,10,7,11,1,12,5,2,3,2,1,,,1,92,1,2,1,1,1,1,1,3,4,4,5,3,4,4,4,4,4,3,4,5
"07110301302",1,7,11,3,8,88,13,2,1,72,2,33,1,12,10,5,3,1,2,2,2,1,,,2,,1,2,1,1,1,1,1,3,5,5,3,5,3,4,2,3,5,3,3,4
"07110400302",0,7,11,4,1,1,3,2,1,7,2,13,11,3,11,4,12,3,3,3,1,1,,,2,,1,1,1,1,3,3,3,3,4,4,4,4,2,5,4,2,4,5,4,4
"07110401603",1,7,11,4,8,88,16,3,1,2,13,1,5,11,11,12,3,3,2,3,3,1,,,2,,1,4,1,1,3,3,9,9,5,4,4,4,2,5,5,5,5,2,3,5
"07110502003",1,7,11,5,8,88,20,3,1,2,,12,7,7,12,2,2,4,3,1,3,1,,,2,,1,1,1,1,1,1,1,3,5,5,4,3,1,2,4,4,3,2,1,4
"07110800501",1,7,11,8,8,88,5,1,1,2,6,27,7,8,9,10,4,3,1,1,1,1,,,2,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,5,4,4,4,4,5
