"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q08","cs6q09_1","cs6q09_2","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"01050200712",1,1,5,2,8,88,7,12,1,6,27,7,9,10,11,2,3,4,2,3,1,1,,,1,65,3,3,3,1,3,1,1,1,5,5,4,4,4,4,4,3,4,4,5,4
"01050201503",1,1,5,2,8,88,15,3,1,7,6,27,9,10,11,2,3,4,2,2,1,1,,,1,173,3,1,1,1,1,1,1,2,4,4,4,4,4,4,4,3,4,4,5,5
"01050301501",1,1,5,3,8,88,15,1,1,27,6,5,9,10,11,2,3,4,3,2,1,1,,,1,146,3,1,1,1,1,3,1,1,5,5,5,4,4,4,3,4,4,3,5,5
"01050302304",1,1,5,3,8,88,23,4,1,6,3,27,10,10,11,3,2,3,2,1,1,1,,,1,23,3,3,1,1,1,1,1,3,4,4,4,1,4,4,3,5,4,5,5,5
"02010200102",0,2,1,2,4,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02010300102",1,2,1,3,8,88,1,2,1,2,,,3,4,,8,,,2,3,3,1,,,1,2800,4,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"02010300601",1,2,1,3,8,88,6,1,1,2,115,63,2,3,4,6,7,8,3,1,1,2,1,1,1,0,4,1,1,1,9,3,3,3,3,9,9,3,4,4,3,3,2,4,9,3
"02010300802",1,2,1,3,8,88,8,2,1,2,115,59,2,3,4,6,7,8,3,1,1,2,10,,1,700,4,1,1,1,9,3,3,3,4,3,9,3,4,4,9,9,4,4,9,9
"02010400201",1,2,1,4,8,88,2,1,1,2,6,27,2,3,4,6,7,8,3,1,1,1,,,1,1500,4,1,1,1,9,1,3,3,3,3,9,3,4,3,9,9,3,3,3,3
"02010500404",1,2,1,5,8,88,4,4,1,2,,,3,,,7,,,2,2,2,2,25,,2,,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
