"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s9q01","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","ph_s9q06","ph_s9q07","ph_s9q08_a","ph_s9q08_b","ph_s9q09","ph_s9q10","ph_s9q11","ph_s9q12_a","ph_s9q12_b","ph_s9q13_a","ph_s9q13_b"
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,106,1,"SORGHUM",6,1,27,3,,,,,,,,,,,,,,,,,
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,2,1,1,3,1,6,52,1,"MAIZE",2,1,17,3,0,280,2,4,0,260,2,2,,,2,,,2,80,3,4
"0101030010613601","01010300106136","01010300106",0,768.159851074219,1,2,1,1,3,1,6,136,1,"MAIZE",2,1,17,2,1,880,3,3,1,820,2,2,,,2,,,7,0,2,3
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,7,1,1,3,18,4,4,1,"MAIZE",2,1,6,3,1,300,21,3,1,200,2,2,,,2,,,25,0,3,3
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,9,1,1,3,18,4,4,1,"TEFF",7,1,2,3,0,850,17,3,0,780,2,2,,,2,,,17,0,3,3
"0101030180401901","01010301804019","01010301804",1,3901.22436523438,2,1,1,1,3,18,4,19,1,"TEFF",7,1,13,3,0,600,28,3,0,550,2,2,,,1,8,25,120,0,3,3
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,1,4,1,1,3,18,4,34,1,"HARICOT BEANS",12,1,8,3,0,800,23,3,0,720,2,2,,,2,,,30,0,3,3
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,2,1,1,1,3,18,4,34,1,"TEFF",7,1,3,3,0,760,18,3,0,700,2,2,,,1,8,25,100,0,3,3
"0101030180404901","01010301804049","01010301804",1,3901.22436523438,2,1,1,1,3,18,4,49,1,"MILLET",3,1,11,3,1,0,26,3,0,820,2,2,,,2,,,28,500,3,3
"0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,5,1,1,3,18,4,69,1,"HORSE BEANS",13,1,11,3,0,880,26,3,0,770,2,2,,,1,13,25,16,0,2,3
"0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,4,1,1,3,18,4,85,1,"MAIZE",2,1,5,3,1,190,20,3,1,70,2,2,,,1,3,25,75,0,3,3
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,10,1,1,3,18,4,115,1,"MAIZE",2,1,15,3,1,90,30,3,0,940,2,2,,,1,3,25,10,0,3,3
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,13,1,1,3,18,4,115,1,"MILLET",3,1,18,2,1,210,3,3,1,50,2,2,,,2,,,25,0,2,3
"0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,4,1,1,3,18,4,130,1,"MAIZE",2,1,10,3,0,920,25,3,0,850,2,2,,,1,3,33,500,0,3,3
"0101030180413001","01010301804130","01010301804",1,3901.22436523438,1,8,1,1,3,18,4,130,1,"HARICOT BEANS",12,1,6,3,0,790,22,3,0,710,2,2,,,2,,,40,0,3,3
"0101030180413001","01010301804130","01010301804",1,3901.22436523438,2,1,1,1,3,18,4,130,1,"TEFF",7,1,25,2,0,620,10,3,0,540,2,2,,,2,,,125,0,2,3
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,1,6,1,1,3,18,4,145,1,"HORSE BEANS",13,1,22,2,1,140,8,3,1,10,2,2,,,2,,,12,500,2,3
"0101030180414501","01010301804145","01010301804",1,3901.22436523438,4,1,1,1,3,18,4,145,1,"SORGHUM",6,1,9,3,1,90,24,3,1,0,2,2,,,2,,,400,0,3,3
"0101050020400101","01010500204001","01010500204",1,3071.13232421875,1,2,1,1,5,2,4,1,1,"MAIZE",2,1,5,2,1,625,20,2,1,588,1,2,,,2,,,20,0,2,2
"0101050020402501","01010500204025","01010500204",1,3071.13232421875,3,1,1,1,5,2,4,25,1,"SORGHUM",6,1,7,3,1,395,22,3,1,300,2,2,,,2,,,250,0,3,3
"0101050020402501","01010500204025","01010500204",1,3071.13232421875,3,2,1,1,5,2,4,25,1,"SESAME",27,1,19,2,0,85,4,3,0,70,2,1,4,5,1,4,85,15,0,2,3
"0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,2,1,1,5,2,4,73,1,"MAIZE",2,1,3,2,1,460,18,2,1,400,2,2,,,2,,,6,300,2,2
"0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,3,1,1,5,2,4,73,1,"SORGHUM",6,1,8,3,1,537,23,3,1,495,2,2,,,2,,,150,0,3,3
"0101050020409701","01010500204097","01010500204",1,3071.13232421875,2,3,1,1,5,2,4,97,1,"MILLET",3,1,8,3,0,750,23,3,0,730,2,2,,,2,,,125,0,3,3
"0101050020412101","01010500204121","01010500204",1,3071.13232421875,1,2,1,1,5,2,4,121,1,"MAIZE",2,1,25,1,1,708,10,2,1,675,2,2,,,2,,,150,0,1,2
"0101050020412101","01010500204121","01010500204",1,3071.13232421875,1,5,1,1,5,2,4,121,1,"SESAME",27,1,4,3,0,498,18,3,0,470,2,2,,,2,,,125,0,3,3
"0101050020419301","01010500204193","01010500204",1,3071.13232421875,2,1,1,1,5,2,4,193,1,"MILLET",3,1,13,3,0,865,28,3,0,835,2,2,,,2,,,150,0,3,3
"0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,3,1,1,5,2,4,217,1,"SORGHUM",6,1,6,3,1,280,21,3,1,255,2,2,,,2,,,800,0,3,3
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,2,2,1,1,6,4,2,21,1,"SORGHUM",6,1,15,3,1,900,29,3,1,750,2,2,,,2,,,2600,680,1,4
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,2,3,1,1,6,4,2,21,1,"SESAME",27,1,15,2,0,210,1,3,0,210,2,2,,,2,,,100,0,1,2
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,3,1,1,1,6,4,2,21,1,"TEFF",7,1,8,3,0,830,24,3,0,820,2,2,,,2,,,575,0,1,2
"0101060040202101","01010600402021","01010600402",1,3720.59497070313,4,1,1,1,6,4,2,21,1,"CHICK PEAS",11,1,,,,,,,,,,,,,,,,,,,
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,1,2,1,1,6,4,2,39,1,"MAIZE",2,1,10,2,1,300,25,2,1,270,1,2,,,2,,,235,0,1,2
"0101060040203901","01010600402039","01010600402",1,3720.59497070313,5,1,1,1,6,4,2,39,1,"TEFF",7,1,13,3,0,780,28,3,0,780,2,2,,,2,,,300,0,1,2
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,1,3,1,1,6,4,2,57,1,"SORGHUM",6,1,,,,,,,,,,,,,,,,,,,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,1,5,1,1,6,4,2,57,1,"SESAME",27,1,10,2,0,130,26,2,0,130,2,1,5,2,1,9,75,10,0,1,2
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,3,2,1,1,6,4,2,57,1,"CHICK PEAS",11,1,,,,,,,,,,,,,,,,,,,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,4,1,1,1,6,4,2,57,1,"MILLET",3,1,,,,,,,,,,,,,,,,,,,
"0101060040205701","01010600402057","01010600402",1,3720.59497070313,4,2,1,1,6,4,2,57,1,"NUEG",25,1,17,3,1,20,2,4,1,10,2,2,,,2,,,17,0,1,3
