"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11"
"07140100402",1,7,14,1,8,88,4,2,1,5,,2,,,,,1,1,1,,2,,
"07140101303",1,7,14,1,8,88,13,3,1,,,1,5,3,4,,2,,,,2,,
"07150100704",1,7,15,1,8,88,7,4,1,,,1,2,1,11,,2,,,,2,,
"07150102609",1,7,15,1,8,88,26,9,1,,,1,20,2,11,,2,,,,2,,
"07150104404",1,7,15,1,8,88,44,4,1,5,,1,80,1,11,6,2,,,,2,,
"07160100803",1,7,16,1,8,88,8,3,1,5,4,2,,,,,2,,,,2,,
"07160101705",1,7,16,1,8,88,17,5,1,6,,2,,,,,2,,,,2,,
"07170100103",1,7,17,1,8,88,1,3,1,,,1,10,1,11,,2,,,,2,,
"07170200104",0,7,17,2,2,1,1,4,4,1,9,1,3,2,11,,1,1,11,9,1,5,5
"07170200803",1,7,17,2,8,88,8,3,1,,,1,10,2,11,,2,,,,2,,
"07170301401",1,7,17,3,8,88,14,1,1,10,,1,5,2,11,,2,,,,2,,
"07170402501",1,7,17,4,8,88,25,1,1,,,1,10,1,11,,1,1,11,,2,,
"07180100101",1,7,18,1,8,88,1,1,1,10,,1,5,2,9,,2,,,,2,,
"07180101001",1,7,18,1,8,88,10,1,1,4,5,1,10,2,4,,2,,,,2,,
"07180102302",1,7,18,1,8,88,23,2,1,5,,1,25,2,4,,2,,,,2,,
"07190100701",1,7,19,1,8,88,7,1,1,5,,1,15,1,11,,2,,,,2,,
"07190102302",1,7,19,1,8,88,23,2,1,3,,1,9,1,11,,2,,,,2,,
"07200101203",1,7,20,1,8,88,12,3,1,,,1,30,2,11,4,2,,,,2,,
"07200203802",1,7,20,2,8,88,38,2,1,,,1,30,3,11,,1,1,1,,2,,
"07200500107",0,7,20,5,8,88,1,7,4,1,,1,15,2,4,11,1,1,4,11,1,20,5
"07200500604",1,7,20,5,8,88,6,4,1,6,,2,,,,,1,1,1,,2,,
"07200800805",1,7,20,8,8,88,8,5,1,,,1,5,2,11,4,1,1,1,,2,,
"07210103003",1,7,21,1,8,88,30,3,1,,,1,10,1,1,,1,1,1,,2,,
"07210106202",1,7,21,1,8,88,62,2,1,4,,1,5,2,4,,1,1,1,,1,15,5
"12010100401",1,12,1,1,8,88,4,1,1,2,,2,,,,,2,,,,2,,
"12010200401",1,12,1,2,8,88,4,1,1,5,8,2,,,,,2,,,,2,,
"12010200901",1,12,1,2,8,88,9,1,1,5,,2,,,,,2,,,,2,,
"12010300103",0,12,1,3,1,1,1,3,4,10,1,1,20,1,10,9,1,2,6,4,2,,
"12020101701",1,12,2,1,8,88,17,1,1,2,3,2,,,,,2,,,,2,,
"12020300401",1,12,2,3,8,88,4,1,1,2,4,1,2,2,4,2,1,3,1,4,2,,
"12030100107",1,12,3,1,8,88,1,7,1,4,6,2,,,,,1,1,1,4,1,10,0
"12030100704",1,12,3,1,8,88,7,4,1,4,,1,2,3,9,,1,1,1,,2,,
"12030201002",1,12,3,2,8,88,10,2,1,5,4,2,,,,,1,1,1,9,2,,
"12030240301",1,12,3,2,8,88,403,1,1,5,3,1,5,1,1,10,1,1,1,1,2,,
"12040101602",1,12,4,1,8,88,16,2,1,2,,2,,,,,2,,,,2,,
"13010100102",1,13,1,1,8,88,1,2,1,11,,2,,,,,1,1,11,,1,10,0
"13010100303",1,13,1,1,8,88,3,3,1,,,2,,,,,1,1,11,,2,,
"13010100405",1,13,1,1,8,88,4,5,1,,,2,,,,,1,1,11,,2,,
"13010100601",1,13,1,1,8,88,6,1,1,4,,2,,,,,2,,,,2,,
"13010100704",1,13,1,1,8,88,7,4,1,3,4,2,,,,,1,1,1,4,2,,
"13010100905",1,13,1,1,8,88,9,5,1,2,4,2,,,,,2,,,,2,,
"13010101103",1,13,1,1,8,88,11,3,1,4,3,2,,,,,2,,,,2,,
"13010101304",1,13,1,1,8,88,13,4,1,4,3,2,,,,,2,,,,2,,
"13010101405",1,13,1,1,8,88,14,5,1,3,,2,,,,,2,,,,2,,
"13010101603",1,13,1,1,8,88,16,3,1,3,,2,,,,,2,,,,2,,
"15010200404",1,15,1,2,8,88,4,4,1,4,,1,5,2,11,,1,1,1,,2,,
"15010200704",1,15,1,2,8,88,7,4,1,4,11,1,2,2,11,,1,1,1,,2,,
"15010201002",1,15,1,2,8,88,10,2,1,3,11,1,3,2,11,,2,,,,2,,
"15010201201",1,15,1,2,8,88,12,1,1,3,11,1,1,2,11,,2,,,,2,,
"15010201401",1,15,1,2,8,88,14,1,1,3,4,1,20,1,1,11,1,2,4,,1,0,4
"15010201605",1,15,1,2,8,88,16,5,1,3,4,1,30,1,1,,1,2,4,,2,,
"15010201805",1,15,1,2,8,88,18,5,1,4,3,1,10,2,11,1,2,,,,2,,
"15010202404",1,15,1,2,8,88,24,4,1,3,4,1,5,1,1,,2,,,,1,15,5
"15010202801",1,15,1,2,8,88,28,1,1,,,2,,,,,1,1,11,,2,,
"15010203102",1,15,1,2,8,88,31,2,1,4,,1,10,3,11,,2,,,,2,,
