"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_saq09","hh_saq13_a","hh_saq13_b","hh_saq13_c","hh_saq14_a","hh_saq14_b","hh_saq15_a","hh_saq15_b","hh_saq16_a","hh_saq16_b","hh_saq16_c","hh_saq16_d","hh_saq16_e","hh_saq16_f","hh_saq16_g","hh_saq16_h","hh_saq16_i","hh_saq16_j","hh_saq16_k","hh_saq16_l","hh_saq16_m","hh_saq16_n","hh_saq16_o","hh_saq16_p","hh_saq17_a","hh_saq17_b","hh_saq17_c","hh_saq18_a","hh_saq18_b","hh_saq19_a","hh_saq19_b","hh_saq20_a","hh_saq20_b","hh_saq20_c","hh_saq20_d","hh_saq20_e","hh_saq20_f","hh_saq20_g","hh_saq20_h","hh_saq20_i","hh_saq20_j","hh_saq20_k","hh_saq20_l","hh_saq20_m","hh_saq20_n","hh_saq20_o","hh_saq20_p","hh_saq21_a","hh_saq21_b","hh_saq21_c","hh_saq22_a","hh_saq22_b","hh_saq23_a","hh_saq23_b","hh_saq24_a","hh_saq24_b","hh_saq24_c","hh_saq24_d","hh_saq24_e","hh_saq24_f","hh_saq24_g","hh_saq24_h","hh_saq24_i","hh_saq24_j","hh_saq24_k","hh_saq24_l","hh_saq24_m","hh_saq24_n","hh_saq24_o","hh_saq24_p","hh_saq26_a","hh_saq26_b","hh_saq26_c","hh_saq26_d","hh_saq27_a","hh_saq27_b","hh_saq27_c","hh_saq27_d","hh_saq28_a","hh_saq28_b","hh_saq28_c","hh_saq28_d","hh_saq29_a","hh_saq29_b","hh_saq29_c","hh_saq29_d","hh_saq30_a","hh_saq30_b","hh_saq30_c","hh_saq30_d","hh_saq31_a","hh_saq31_b","hh_saq31_c","hh_saq31_d","hh_saq32_a","hh_saq32_b","hh_saq32_c","hh_saq32_d","hh_saq33_a","hh_saq33_b"
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,2,23,5,2004,2,40,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5,2004,,28,5,2004,,,,,,28,6,2004,,,,,,2,8,2004,,4,8,2004,1,
"01010300106004","01010300106",0,768.159851074219,1,1,3,1,1,1,6,4,3,18,5,2004,3,25,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,4,8,2004,,9,8,2004,1,
"01010300106016","01010300106",0,768.159851074219,1,1,3,1,1,1,6,16,3,13,5,2004,3,0,6,15,,,,,,,,,,,,,,,,,13,5,2004,11,50,12,30,,,,,,,,,,,,,,,,,16,5,2004,4,0,5,15,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,4,8,2004,,9,8,2004,1,
"01010300106028","01010300106",0,768.159851074219,1,1,3,1,1,1,6,28,1,30,5,2004,9,55,12,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,3,8,2004,,8,8,2004,1,
"01010300106040","01010300106",0,768.159851074219,1,1,3,1,1,1,6,40,3,16,5,2004,6,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,4,8,2004,,8,8,2004,1,
"01010300106052","01010300106",0,768.159851074219,1,1,3,1,1,1,6,52,4,10,5,2004,9,45,11,35,,,,,,,,,,,,,,,,,14,5,2004,4,30,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,4,8,2004,,9,8,2004,1,
"01010300106064","01010300106",0,768.159851074219,1,1,3,1,1,1,6,64,4,15,5,2004,5,50,8,30,,,,,,,,,,,,,,,,,15,5,2004,9,45,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,4,8,2004,,9,8,2004,1,
"01010300106076","01010300106",0,768.159851074219,1,1,3,1,1,1,6,76,5,14,5,2004,10,15,1,10,,,,,,,,,,,,,,,,,15,5,2004,3,0,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,3,8,2004,,8,8,2004,1,
"01010300106088","01010300106",0,768.159851074219,1,1,3,1,1,1,6,88,4,9,5,2004,10,45,12,30,,,,,"X","X","X","X","X","X","X","X","X","X","X","X",10,5,2004,5,45,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,8,8,2004,,9,8,2004,1,
"01010300106100","01010300106",0,768.159851074219,1,1,3,1,1,1,6,100,5,9,5,2004,5,0,5,45,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",15,5,2004,8,40,9,30,,,,,,,"X","X","X","X","X","X","X","X","X","X",17,5,2004,8,5,9,45,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,8,8,2004,,9,8,2004,1,
