"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs10b2q07_a","cs10b2q07_b","cs10b2q07_c","cs10b2q07_d","cs10b2q07_e1","cs10b2q07_e2","cs10b2q07_f1","cs10b2q07_f2"
"01010300106",0,1,1,3,1,1,1,6,,12,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,13,"GERAM",1,590,,8,0
"01010300106",0,1,1,3,1,1,1,6,,14,"K.G",20,1,,10,0
"01010300106",0,1,1,3,1,1,1,6,,15,"K.G",20,1,,12,0
"01010300106",0,1,1,3,1,1,1,6,,16,"K.G",20,1,,6,0
"01010300106",0,1,1,3,1,1,1,6,,17,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,19,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,20,"KUTIR",4,1,,1,75
"01010300106",0,1,1,3,1,1,1,6,,21,"K.G",20,1,,17,0
"01010300106",0,1,1,3,1,1,1,6,,22,"K.G",20,1,,4,0
"01010300106",0,1,1,3,1,1,1,6,,23,"K.G",20,1,,130,0
"01010300106",0,1,1,3,1,1,1,6,,24,"GERAM",1,100,,40,0
"01010300106",0,1,1,3,1,1,1,6,,25,"GERAM",1,200,,7,0
"01010300106",0,1,1,3,1,1,1,6,,26,"GERAM",1,70,,5,0
"01010300106",0,1,1,3,1,1,1,6,,27,"KUTIR",4,1,,0,50
"01010300106",0,1,1,3,1,1,1,6,,28,"KUTIR",4,1,,5,
"01010300106",0,1,1,3,1,1,1,6,,29,"KUTIR",4,1,,3,0
"01010300106",0,1,1,3,1,1,1,6,,30,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,31,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,32,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,33,"K.G",20,,,,
"01010300106",0,1,1,3,1,1,1,6,,34,"LITRE",,,,,
"01010300106",0,1,1,3,1,1,1,6,,35,"LITRE",,,,,
"01010300106",0,1,1,3,1,1,1,6,,36,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,37,"KUTIR",4,1,,0,50
"01010300106",0,1,1,3,1,1,1,6,,38,"KUTIR",4,1,,3000,0
"01010300106",0,1,1,3,1,1,1,6,,39,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,40,,,,,,
"01010300106",0,1,1,3,1,1,1,6,,41,"KUTIR",4,1,,60,0
"01010301804",1,1,1,3,8,88,18,4,,1,"GERAME",1,810,,7,10
"01010301804",1,1,1,3,8,88,18,4,,2,"GERAME",1,800,,7,11
"01010301804",1,1,1,3,8,88,18,4,,3,"GERAME",1,,,,
"01010301804",1,1,1,3,8,88,18,4,,4,"GERAME",1,810,,3,50
"01010301804",1,1,1,3,8,88,18,4,,5,"GERAME",1,750,,4,10
"01010301804",1,1,1,3,8,88,18,4,,6,"GERAME",1,770,,4,0
"01010301804",1,1,1,3,8,88,18,4,,7,"GERAME",1,790,,9,10
"01010301804",1,1,1,3,8,88,18,4,,8,"GERAM",1,760,,9,85
"01010301804",1,1,1,3,8,88,18,4,,9,,,,,,
"01010301804",1,1,1,3,8,88,18,4,,10,,,,,,
"01010301804",1,1,1,3,8,88,18,4,,11,,,,,,
"01010301804",1,1,1,3,8,88,18,4,,12,"AGERAME",1,560,,10,0
"01010301804",1,1,1,3,8,88,18,4,,13,,,,,,
"01010301804",1,1,1,3,8,88,18,4,,14,"GERAME",20,1,,10,0
"01010301804",1,1,1,3,8,88,18,4,,15,,,,,,
"01010301804",1,1,1,3,8,88,18,4,,16,"K.GERAME",20,1,,6,0
"01010301804",1,1,1,3,8,88,18,4,,17,,,,,,
"01010301804",1,1,1,3,8,88,18,4,,19,,,,,,
"01010301804",1,1,1,3,8,88,18,4,,20,"KKUTERE",4,1,,1,75
"01010301804",1,1,1,3,8,88,18,4,,21,"K.GERAME",20,1,,17,0
"01010301804",1,1,1,3,8,88,18,4,,22,"K.GERAME",20,1,,3,50
"01010301804",1,1,1,3,8,88,18,4,,23,"K.GEAME",20,1,,130,0
"01010301804",1,1,1,3,8,88,18,4,,24,"GERAM",1,100,,24,0
"01010301804",1,1,1,3,8,88,18,4,,25,"GERAME",1,200,,7,0
