"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s5cq00","hh_s5cq0a","hh_s5cq04","hh_s5cq05"
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,"A","Children 0-5 yea",0,0
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,"B","Children 6-15 ye",0,0
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,"C","Adults 16-65 yea",0,0
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,"D","Adults over 65 y",0,0
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,"A","Children 0-5 yea",0,0
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,"B","Children 6-15 ye",0,0
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,"C","Adults 16-65 yea",0,0
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,"D","Adults over 65 y",0,0
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,"A","Children 0-5 yea",0,0
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,"B","Children 6-15 ye",0,0
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,"C","Adults 16-65 yea",2,2
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,"D","Adults over 65 y",0,0
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,"A","Children 0-5 yea",0,0
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,"B","Children 6-15 ye",0,0
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,"C","Adults 16-65 yea",0,0
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,"D","Adults over 65 y",0,0
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,"A","Children 0-5 yea",0,0
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,"B","Children 6-15 ye",0,0
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,"C","Adults 16-65 yea",0,0
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,"D","Adults over 65 y",0,0
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,"A","Children 0-5 yea",0,0
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,"B","Children 6-15 ye",0,0
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,"C","Adults 16-65 yea",2,3
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,"D","Adults over 65 y",0,0
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,"A","Children 0-5 yea",0,0
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,"B","Children 6-15 ye",0,0
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,"C","Adults 16-65 yea",0,0
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,"D","Adults over 65 y",0,0
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,"A","Children 0-5 yea",0,0
